ID Pedido,ID Cliente,ID Producto,Unidades,Fecha Pedido,Fecha Envío,Prioridad,ID Canal
PE0031,CL00228,PRO002,544,2023/02/05,2023/02/28,Crítica,CA002
PE0032,CL00207,PRO005,1301,2023/11/02,2023/11/10,Crítica,CA002
PE0033,CL00274,PRO005,1286,2020/04/09,2020/05/14,Baja,CA002
PE0034,CL00473,PRO005,772,2022/02/26,2022/03/17,Crítica,CA002
PE0035,CL00325,PRO007,610,2023/06/15,2023/07/19,Crítica,CA001
PE0036,CL00400,PRO003,704,2020/08/08,2020/09/11,Baja,CA001
PE0037,CL0066,PRO009,855,2020/05/18,2020/07/02,Media,CA001
PE0038,CL00430,PRO0010,862,2020/02/10,2020/03/31,Media,CA002
PE0039,CL00451,PRO001,1268,2023/08/13,2023/09/09,Crítica,CA002
PE0040,CL00428,PRO003,925,2022/12/10,2023/01/29,Alta,CA002
PE0041,CL0035,PRO009,229,2021/04/04,2021/04/26,Alta,CA002
PE0042,CL0021,PRO004,1061,2021/05/14,2021/07/01,Alta,CA001
PE0043,CL00357,PRO004,524,2022/05/19,2022/07/08,Baja,CA001
PE0044,CL00269,PRO0011,1259,2021/03/15,2021/04/17,Alta,CA002
PE0045,CL0049,PRO006,530,2020/08/26,2020/10/03,Alta,CA002
PE0046,CL00151,PRO009,1221,2023/05/08,2023/06/24,Alta,CA002
PE0047,CL00339,PRO0011,1005,2020/08/04,2020/09/15,Baja,CA001
PE0048,CL00186,PRO0011,999,2021/09/22,2021/11/25,Media,CA001
PE0049,CL0039,PRO0010,1056,2021/11/25,2021/12/04,Media,CA002
PE0050,CL00179,PRO0011,778,2023/06/05,2023/06/18,Baja,CA001
PE0051,CL00309,PRO006,328,2023/06/25,2023/07/23,Baja,CA001
PE0052,CL00306,PRO005,1113,2020/08/17,2020/10/14,Media,CA001
PE0053,CL0036,PRO0011,328,2022/12/05,2023/02/03,Baja,CA002
PE0054,CL00390,PRO007,386,2021/11/20,2021/12/28,Media,CA001
PE0055,CL00161,PRO005,1437,2021/06/22,2021/07/06,Baja,CA001
PE0056,CL0030,PRO007,1179,2023/11/13,2023/12/18,Baja,CA001
PE0057,CL00162,PRO0012,926,2023/02/05,2023/04/05,Media,CA001
PE0058,CL00119,PRO008,1094,2023/05/10,2023/05/25,Crítica,CA001
PE0059,CL00381,PRO002,1455,2021/07/20,2021/09/23,Media,CA001
PE0060,CL0071,PRO007,608,2021/01/28,2021/02/13,Baja,CA002
PE0061,CL0025,PRO001,1266,2020/11/07,2020/11/23,Media,CA001
PE0062,CL00476,PRO002,1267,2020/04/09,2020/06/05,Crítica,CA002
PE0063,CL00439,PRO0010,1108,2022/02/06,2022/03/07,Crítica,CA001
PE0064,CL00284,PRO002,399,2023/12/25,2024/02/02,Crítica,CA002
PE0065,CL0068,PRO005,850,2022/04/26,2022/06/05,Crítica,CA001
PE0066,CL00117,PRO0010,1134,2021/01/06,2021/01/15,Alta,CA001
PE0067,CL0032,PRO002,946,2021/05/28,2021/06/09,Media,CA002
PE0068,CL00411,PRO0011,1476,2020/01/01,2020/02/10,Crítica,CA001
PE0069,CL00265,PRO008,365,2022/01/22,2022/03/04,Media,CA001
PE0070,CL00247,PRO009,1458,2021/03/24,2021/04/29,Crítica,CA001
PE0071,CL00280,PRO0012,941,2021/10/27,2021/12/15,Media,CA002
PE0072,CL00331,PRO005,592,2022/03/18,2022/04/03,Alta,CA001
PE0073,CL00143,PRO003,1386,2020/09/07,2020/09/19,Alta,CA001
PE0074,CL00470,PRO002,153,2023/12/11,2024/01/26,Alta,CA001
PE0075,CL00261,PRO003,910,2023/02/14,2023/04/15,Crítica,CA001
PE0076,CL00105,PRO0012,1328,2021/03/22,2021/04/20,Alta,CA001
PE0077,CL00180,PRO006,500,2022/05/26,2022/07/04,Media,CA002
PE0078,CL00294,PRO003,403,2021/11/05,2021/11/23,Baja,CA001
PE0079,CL00246,PRO0012,693,2020/08/19,2020/08/25,Alta,CA001
PE0080,CL00421,PRO009,1303,2021/08/21,2021/10/02,Crítica,CA002
PE0081,CL00327,PRO004,795,2021/09/19,2021/10/16,Alta,CA002
PE0082,CL00464,PRO004,289,2021/12/24,2022/02/15,Baja,CA002
PE0083,CL00123,PRO003,484,2023/02/21,2023/04/05,Alta,CA002
PE0084,CL00274,PRO002,1269,2021/08/19,2021/09/13,Alta,CA002
PE0085,CL00332,PRO0010,846,2020/10/20,2020/11/10,Crítica,CA001
PE0086,CL00120,PRO006,195,2021/07/25,2021/08/18,Alta,CA001
PE0087,CL00427,PRO003,1129,2021/07/06,2021/07/12,Baja,CA001
PE0088,CL0082,PRO0012,840,2020/01/11,2020/01/18,Crítica,CA001
PE0089,CL00380,PRO0010,1420,2020/10/25,2020/12/09,Crítica,CA001
PE0090,CL00324,PRO001,1492,2020/11/25,2020/12/10,Crítica,CA002
PE0091,CL00371,PRO008,1487,2023/08/07,2023/09/23,Alta,CA001
PE0092,CL00454,PRO006,760,2020/04/28,2020/05/11,Media,CA001
PE0093,CL00494,PRO007,1358,2020/05/01,2020/06/15,Crítica,CA002
PE0094,CL00114,PRO008,855,2022/08/02,2022/10/02,Media,CA001
PE0095,CL00127,PRO004,451,2020/12/15,2020/12/24,Alta,CA002
PE0096,CL00167,PRO0012,286,2023/04/21,2023/05/27,Alta,CA001
PE0097,CL00144,PRO001,182,2020/01/13,2020/01/21,Media,CA002
PE0098,CL00461,PRO008,1313,2020/09/28,2020/10/15,Alta,CA002
PE0099,CL00381,PRO001,496,2021/03/23,2021/05/07,Media,CA001
PE00100,CL00190,PRO0010,1440,2023/05/25,2023/07/09,Media,CA002
PE00101,CL00176,PRO008,174,2023/08/20,2023/08/28,Alta,CA001
PE00102,CL00282,PRO008,1470,2020/07/22,2020/08/23,Media,CA001
PE00103,CL00477,PRO002,747,2023/07/24,2023/08/20,Baja,CA001
PE00104,CL00284,PRO005,602,2020/06/26,2020/08/10,Crítica,CA001
PE00105,CL0033,PRO008,770,2022/02/05,2022/02/21,Alta,CA002
PE00106,CL00488,PRO005,711,2020/07/09,2020/09/07,Crítica,CA002
PE00107,CL00226,PRO004,828,2022/11/08,2022/12/12,Media,CA002
PE00108,CL0097,PRO0011,969,2022/12/17,2023/01/14,Baja,CA002
PE00109,CL0018,PRO006,1364,2021/05/09,2021/05/18,Crítica,CA001
PE00110,CL00274,PRO0011,1153,2023/02/13,2023/04/02,Alta,CA002
PE00111,CL00239,PRO003,1339,2020/02/24,2020/04/22,Baja,CA001
PE00112,CL00334,PRO0011,299,2021/08/01,2021/09/08,Baja,CA002
PE00113,CL0097,PRO009,463,2021/02/24,2021/04/13,Media,CA002
PE00114,CL0067,PRO006,481,2023/03/09,2023/03/20,Alta,CA002
PE00115,CL00445,PRO006,1237,2023/07/10,2023/08/04,Alta,CA001
PE00116,CL00197,PRO005,1282,2021/09/22,2021/10/27,Crítica,CA001
PE00117,CL00334,PRO002,383,2023/11/05,2023/12/23,Media,CA002
PE00118,CL00268,PRO0012,1036,2022/09/01,2022/10/14,Media,CA001
PE00119,CL0032,PRO005,389,2022/01/07,2022/03/09,Alta,CA001
PE00120,CL00156,PRO007,1259,2020/05/03,2020/05/12,Alta,CA001
PE00121,CL00393,PRO0011,996,2020/06/22,2020/06/28,Crítica,CA001
PE00122,CL00198,PRO001,803,2022/11/08,2022/11/16,Alta,CA002
PE00123,CL00342,PRO005,319,2021/03/10,2021/03/20,Baja,CA001
PE00124,CL00426,PRO009,424,2020/12/24,2021/01/30,Crítica,CA002
PE00125,CL0096,PRO008,928,2021/06/25,2021/08/08,Crítica,CA001
PE00126,CL00233,PRO005,1160,2022/09/15,2022/11/01,Crítica,CA002
PE00127,CL009,PRO003,764,2021/08/10,2021/08/17,Baja,CA002
PE00128,CL00203,PRO002,1426,2022/03/23,2022/05/24,Crítica,CA001
PE00129,CL00495,PRO002,679,2023/01/24,2023/03/29,Crítica,CA001
PE00130,CL00241,PRO003,845,2021/04/20,2021/05/06,Crítica,CA001
PE00131,CL00459,PRO007,1161,2022/01/20,2022/01/26,Media,CA002
PE00132,CL00443,PRO001,170,2021/01/04,2021/02/18,Media,CA001
PE00133,CL00192,PRO0010,1451,2020/04/02,2020/05/05,Media,CA001
PE00134,CL00378,PRO0012,1334,2022/03/16,2022/05/12,Baja,CA002
PE00135,CL00218,PRO006,457,2022/06/08,2022/07/30,Media,CA002
PE00136,CL00130,PRO005,1257,2023/03/06,2023/04/07,Crítica,CA002
PE00137,CL00450,PRO0011,208,2023/08/26,2023/09/19,Alta,CA002
PE00138,CL00129,PRO003,1127,2020/02/16,2020/03/25,Media,CA001
PE00139,CL004,PRO009,470,2021/04/10,2021/05/30,Media,CA001
PE00140,CL00418,PRO004,830,2023/05/22,2023/06/07,Media,CA002
PE00141,CL0085,PRO001,1031,2021/07/02,2021/07/30,Baja,CA002
PE00142,CL00487,PRO008,377,2023/09/15,2023/10/26,Baja,CA001
PE00143,CL00468,PRO0011,992,2020/11/23,2021/01/20,Media,CA002
PE00144,CL00439,PRO0010,603,2021/10/08,2021/10/31,Baja,CA002
PE00145,CL00147,PRO004,1364,2023/01/04,2023/02/03,Baja,CA002
PE00146,CL00305,PRO008,708,2022/01/13,2022/02/27,Alta,CA001
PE00147,CL00444,PRO006,680,2020/07/02,2020/07/16,Crítica,CA001
PE00148,CL00453,PRO008,1351,2022/09/05,2022/10/21,Baja,CA001
PE00149,CL00151,PRO005,1249,2020/12/11,2021/01/14,Alta,CA002
PE00150,CL0034,PRO008,732,2020/12/12,2020/12/21,Crítica,CA001
PE00151,CL00412,PRO001,1468,2022/03/21,2022/04/09,Crítica,CA002
PE00152,CL00286,PRO006,314,2020/12/23,2021/01/17,Crítica,CA001
PE00153,CL0077,PRO0010,636,2021/11/17,2022/01/13,Alta,CA001
PE00154,CL0025,PRO008,815,2022/12/28,2023/01/23,Baja,CA001
PE00155,CL00348,PRO0011,470,2022/04/12,2022/04/26,Alta,CA002
PE00156,CL00186,PRO002,1143,2021/01/17,2021/01/27,Crítica,CA002
PE00157,CL00438,PRO0012,565,2021/04/04,2021/05/06,Alta,CA001
PE00158,CL00121,PRO0010,1135,2023/09/27,2023/10/12,Crítica,CA001
PE00159,CL0026,PRO0010,914,2020/06/09,2020/06/14,Alta,CA002
PE00160,CL0056,PRO003,1212,2021/10/19,2021/11/20,Baja,CA002
PE00161,CL00192,PRO001,630,2020/07/16,2020/08/13,Alta,CA002
PE00162,CL00474,PRO004,413,2023/07/03,2023/08/28,Alta,CA002
PE00163,CL00488,PRO0011,1120,2023/09/22,2023/11/02,Media,CA001
PE00164,CL0083,PRO002,627,2021/08/19,2021/09/19,Crítica,CA001
PE00165,CL0086,PRO006,1367,2020/02/23,2020/03/06,Media,CA002
PE00166,CL00291,PRO004,487,2021/02/24,2021/04/19,Crítica,CA002
PE00167,CL00463,PRO0011,1211,2023/06/24,2023/07/20,Alta,CA001
PE00168,CL00497,PRO006,1043,2020/02/19,2020/04/19,Crítica,CA002
PE00169,CL00453,PRO008,391,2022/02/03,2022/03/18,Alta,CA002
PE00170,CL00185,PRO0012,867,2020/08/13,2020/09/11,Media,CA001
PE00171,CL00112,PRO002,1362,2023/09/27,2023/10/04,Alta,CA002
PE00172,CL00359,PRO009,1448,2020/05/05,2020/05/22,Baja,CA002
PE00173,CL00282,PRO0011,625,2022/05/13,2022/05/26,Crítica,CA002
PE00174,CL0031,PRO0010,800,2020/12/27,2021/01/29,Baja,CA001
PE00175,CL00124,PRO0010,160,2021/02/22,2021/04/25,Crítica,CA002
PE00176,CL0034,PRO004,361,2020/11/15,2020/12/14,Baja,CA001
PE00177,CL0095,PRO007,1181,2022/03/28,2022/04/29,Baja,CA001
PE00178,CL00130,PRO005,171,2021/03/05,2021/04/30,Alta,CA002
PE00179,CL00315,PRO009,698,2022/10/11,2022/10/31,Alta,CA002
PE00180,CL00111,PRO008,1476,2023/08/19,2023/10/03,Baja,CA001
PE00181,CL00383,PRO0010,447,2022/07/09,2022/08/26,Baja,CA001
PE00182,CL00322,PRO006,1159,2020/09/22,2020/10/08,Crítica,CA002
PE00183,CL00147,PRO007,1049,2023/09/01,2023/10/11,Baja,CA002
PE00184,CL00246,PRO005,931,2022/12/03,2023/01/11,Baja,CA002
PE00185,CL00223,PRO007,973,2021/01/13,2021/02/25,Crítica,CA002
PE00186,CL0014,PRO009,1176,2023/03/12,2023/04/26,Baja,CA002
PE00187,CL0037,PRO005,706,2023/04/01,2023/05/27,Baja,CA001
PE00188,CL00455,PRO006,194,2021/06/21,2021/07/29,Baja,CA002
PE00189,CL00128,PRO004,1484,2020/09/04,2020/10/11,Baja,CA002
PE00190,CL00237,PRO008,1323,2022/05/04,2022/06/16,Alta,CA002
PE00191,CL00451,PRO005,556,2021/11/21,2022/01/17,Alta,CA001
PE00192,CL00202,PRO003,542,2022/09/03,2022/09/28,Baja,CA002
PE00193,CL00141,PRO008,1214,2023/05/12,2023/06/12,Alta,CA001
PE00194,CL00287,PRO007,234,2020/06/28,2020/07/05,Crítica,CA001
PE00195,CL00449,PRO009,212,2021/06/05,2021/07/26,Crítica,CA002
PE00196,CL00314,PRO004,1028,2023/10/18,2023/11/13,Baja,CA001
PE00197,CL00468,PRO008,1494,2021/12/16,2022/02/06,Crítica,CA001
PE00198,CL00476,PRO009,1206,2023/07/10,2023/08/13,Alta,CA002
PE00199,CL00232,PRO005,913,2023/02/23,2023/03/23,Media,CA002
PE00200,CL00446,PRO007,430,2022/02/04,2022/02/09,Alta,CA002
PE00201,CL00410,PRO009,700,2022/06/09,2022/07/20,Baja,CA001
PE00202,CL00327,PRO0012,1017,2020/01/21,2020/01/27,Media,CA001
PE00203,CL0063,PRO004,1314,2022/01/25,2022/03/30,Media,CA001
PE00204,CL00176,PRO0011,288,2020/06/17,2020/06/25,Baja,CA002
PE00205,CL00250,PRO002,1083,2021/07/19,2021/08/05,Crítica,CA002
PE00206,CL00122,PRO003,984,2021/12/05,2021/12/27,Baja,CA001
PE00207,CL00392,PRO001,900,2020/10/02,2020/10/08,Baja,CA002
PE00208,CL00158,PRO0010,516,2021/05/19,2021/06/15,Media,CA001
PE00209,CL00273,PRO009,610,2021/03/24,2021/04/06,Crítica,CA001
PE00210,CL00118,PRO004,958,2020/02/20,2020/04/12,Media,CA001
PE00211,CL00326,PRO0011,1238,2020/01/03,2020/02/26,Crítica,CA002
PE00212,CL00478,PRO004,1093,2022/02/27,2022/03/14,Baja,CA002
PE00213,CL00228,PRO007,1243,2020/11/27,2020/12/30,Crítica,CA001
PE00214,CL0098,PRO005,717,2023/03/09,2023/03/30,Crítica,CA002
PE00215,CL0079,PRO0011,742,2023/11/03,2024/01/02,Baja,CA002
PE00216,CL0079,PRO0010,1256,2022/02/15,2022/03/19,Baja,CA002
PE00217,CL0047,PRO009,949,2022/08/23,2022/09/23,Alta,CA001
PE00218,CL00344,PRO003,1048,2021/04/06,2021/04/22,Crítica,CA001
PE00219,CL00216,PRO001,422,2020/04/27,2020/06/29,Crítica,CA001
PE00220,CL00218,PRO0011,528,2023/06/20,2023/07/30,Media,CA002
PE00221,CL00308,PRO008,406,2023/05/13,2023/06/14,Crítica,CA001
PE00222,CL00173,PRO006,1033,2022/03/13,2022/03/22,Media,CA002
PE00223,CL00496,PRO006,459,2020/09/02,2020/10/08,Alta,CA002
PE00224,CL00322,PRO001,455,2021/04/21,2021/06/23,Crítica,CA002
PE00225,CL00427,PRO002,644,2022/07/12,2022/08/31,Alta,CA001
PE00226,CL00432,PRO001,203,2020/07/09,2020/08/04,Crítica,CA002
PE00227,CL00321,PRO005,1259,2020/04/24,2020/05/30,Baja,CA001
PE00228,CL00360,PRO0012,283,2020/07/03,2020/08/05,Media,CA001
PE00229,CL00444,PRO004,1140,2021/03/25,2021/05/06,Media,CA001
PE00230,CL00101,PRO001,462,2021/06/07,2021/07/12,Crítica,CA002
PE00231,CL00443,PRO008,306,2023/09/27,2023/11/27,Crítica,CA002
PE00232,CL00213,PRO0012,1211,2023/04/04,2023/04/21,Alta,CA002
PE00233,CL00401,PRO0010,1341,2021/04/15,2021/05/17,Alta,CA001
PE00234,CL0022,PRO009,1257,2023/07/26,2023/08/15,Alta,CA002
PE00235,CL0067,PRO002,1422,2021/01/17,2021/01/27,Media,CA001
PE00236,CL00407,PRO0012,996,2022/06/13,2022/07/08,Media,CA001
PE00237,CL00500,PRO0011,1185,2022/01/11,2022/02/07,Crítica,CA002
PE00238,CL00256,PRO003,209,2020/08/05,2020/09/30,Media,CA002
PE00239,CL00391,PRO005,1261,2023/10/02,2023/12/01,Baja,CA001
PE00240,CL00251,PRO005,493,2023/06/10,2023/08/11,Crítica,CA001
PE00241,CL00187,PRO006,168,2020/04/08,2020/04/26,Crítica,CA001
PE00242,CL0060,PRO003,462,2020/06/21,2020/07/15,Crítica,CA002
PE00243,CL00406,PRO002,967,2020/12/04,2020/12/24,Alta,CA001
PE00244,CL00184,PRO008,539,2020/07/19,2020/09/01,Crítica,CA002
PE00245,CL00235,PRO0011,725,2020/09/15,2020/09/25,Media,CA001
PE00246,CL00398,PRO004,1256,2020/06/23,2020/08/23,Alta,CA002
PE00247,CL00235,PRO0010,1136,2022/01/15,2022/02/03,Crítica,CA002
PE00248,CL00329,PRO006,1366,2021/07/15,2021/08/08,Crítica,CA002
PE00249,CL00108,PRO0010,1233,2022/07/21,2022/09/22,Alta,CA002
PE00250,CL0053,PRO005,675,2020/04/14,2020/04/25,Media,CA002
PE00251,CL00145,PRO003,366,2021/04/17,2021/05/28,Media,CA002
PE00252,CL00280,PRO008,1200,2020/09/10,2020/10/08,Media,CA002
PE00253,CL00200,PRO006,444,2021/07/16,2021/08/11,Crítica,CA002
PE00254,CL00116,PRO009,762,2021/11/06,2022/01/10,Baja,CA001
PE00255,CL00142,PRO0011,1047,2022/07/06,2022/08/26,Crítica,CA002
PE00256,CL00308,PRO0011,1181,2023/03/04,2023/04/03,Crítica,CA001
PE00257,CL0076,PRO0010,1464,2020/08/26,2020/09/06,Media,CA001
PE00258,CL00351,PRO002,655,2023/11/06,2023/11/20,Baja,CA001
PE00259,CL00288,PRO0011,490,2020/12/23,2021/02/22,Alta,CA002
PE00260,CL00149,PRO009,521,2022/01/08,2022/01/15,Alta,CA002
PE00261,CL00194,PRO002,816,2023/06/06,2023/07/13,Media,CA001
PE00262,CL0071,PRO008,881,2021/12/25,2022/02/13,Media,CA001
PE00263,CL00164,PRO006,1089,2021/08/16,2021/10/19,Crítica,CA001
PE00264,CL00202,PRO002,1353,2020/03/11,2020/04/03,Crítica,CA002
PE00265,CL00193,PRO002,298,2020/08/06,2020/10/04,Crítica,CA002
PE00266,CL00269,PRO007,275,2022/02/15,2022/03/22,Crítica,CA002
PE00267,CL00253,PRO008,1056,2023/04/22,2023/06/16,Media,CA001
PE00268,CL00220,PRO009,578,2023/04/14,2023/06/01,Crítica,CA001
PE00269,CL00322,PRO007,965,2020/10/22,2020/11/22,Alta,CA001
PE00270,CL00432,PRO006,780,2023/06/12,2023/06/30,Alta,CA001
PE00271,CL00461,PRO002,713,2021/04/28,2021/05/30,Crítica,CA001
PE00272,CL0080,PRO0010,466,2021/02/22,2021/03/19,Crítica,CA002
PE00273,CL00108,PRO0012,1226,2020/10/08,2020/12/08,Media,CA001
PE00274,CL00373,PRO0010,1373,2022/01/07,2022/01/15,Media,CA002
PE00275,CL00299,PRO003,1410,2023/12/21,2024/01/02,Alta,CA001
PE00276,CL00402,PRO004,986,2022/10/01,2022/11/14,Baja,CA001
PE00277,CL00190,PRO001,1490,2020/08/11,2020/08/23,Alta,CA002
PE00278,CL00386,PRO006,322,2023/12/14,2023/12/20,Alta,CA001
PE00279,CL00295,PRO0012,937,2020/08/10,2020/08/30,Baja,CA001
PE00280,CL00245,PRO004,1177,2020/08/16,2020/09/11,Media,CA002
PE00281,CL00261,PRO0011,617,2020/11/16,2020/11/26,Crítica,CA002
PE00282,CL0072,PRO002,335,2021/03/26,2021/04/09,Baja,CA001
PE00283,CL00171,PRO008,454,2023/08/05,2023/08/19,Alta,CA001
PE00284,CL00214,PRO008,319,2023/09/16,2023/11/18,Baja,CA002
PE00285,CL00173,PRO005,353,2022/12/20,2023/02/12,Media,CA001
PE00286,CL00487,PRO006,1030,2023/04/03,2023/05/06,Alta,CA001
PE00287,CL00243,PRO008,798,2022/02/11,2022/03/02,Baja,CA001
PE00288,CL00403,PRO005,976,2022/05/11,2022/06/03,Baja,CA001
PE00289,CL00498,PRO002,1136,2021/10/23,2021/12/08,Media,CA001
PE00290,CL00379,PRO006,959,2023/12/19,2024/02/21,Alta,CA001
PE00291,CL00201,PRO001,1004,2020/07/15,2020/08/11,Media,CA002
PE00292,CL00190,PRO004,886,2020/12/02,2020/12/15,Baja,CA001
PE00293,CL00430,PRO009,1017,2020/05/10,2020/07/08,Baja,CA002
PE00294,CL0079,PRO008,257,2022/02/21,2022/03/31,Alta,CA002
PE00295,CL00142,PRO009,1103,2020/04/07,2020/05/17,Baja,CA001
PE00296,CL00464,PRO003,487,2023/07/16,2023/08/11,Baja,CA001
PE00297,CL00116,PRO0012,1216,2022/05/25,2022/07/21,Media,CA001
PE00298,CL00268,PRO001,699,2020/09/04,2020/09/30,Crítica,CA002
PE00299,CL00498,PRO0010,459,2022/01/21,2022/02/01,Media,CA001
PE00300,CL00246,PRO001,1097,2022/02/21,2022/04/26,Crítica,CA002
PE00301,CL00134,PRO008,732,2023/11/23,2023/12/26,Media,CA001
PE00302,CL0078,PRO009,1161,2021/02/08,2021/03/04,Baja,CA002
PE00303,CL0069,PRO0010,243,2022/07/20,2022/08/08,Media,CA001
PE00304,CL00140,PRO007,897,2022/03/19,2022/05/11,Alta,CA001
PE00305,CL00219,PRO003,489,2021/07/09,2021/08/07,Alta,CA001
PE00306,CL00217,PRO006,714,2023/02/18,2023/03/09,Alta,CA002
PE00307,CL00453,PRO0012,670,2021/11/24,2021/12/29,Baja,CA002
PE00308,CL00254,PRO001,1371,2021/08/16,2021/08/21,Alta,CA002
PE00309,CL00422,PRO002,796,2021/09/21,2021/10/22,Alta,CA002
PE00310,CL00122,PRO0011,1218,2023/06/18,2023/06/29,Baja,CA001
PE00311,CL00451,PRO0011,985,2023/09/20,2023/10/30,Media,CA001
PE00312,CL0063,PRO006,865,2021/11/14,2022/01/06,Crítica,CA001
PE00313,CL0089,PRO009,1263,2021/03/01,2021/03/10,Alta,CA001
PE00314,CL00180,PRO0010,366,2023/01/09,2023/02/28,Media,CA001
PE00315,CL00402,PRO0012,548,2021/07/28,2021/08/03,Crítica,CA002
PE00316,CL00214,PRO0011,543,2021/11/08,2021/11/20,Baja,CA001
PE00317,CL00467,PRO002,1081,2022/08/04,2022/09/05,Crítica,CA002
PE00318,CL00362,PRO0012,695,2020/08/07,2020/09/28,Baja,CA002
PE00319,CL00104,PRO002,851,2021/09/22,2021/10/26,Alta,CA002
PE00320,CL00422,PRO005,1327,2022/10/19,2022/11/23,Media,CA002
PE00321,CL00356,PRO003,1452,2023/11/15,2023/12/20,Crítica,CA002
PE00322,CL00325,PRO001,304,2020/03/01,2020/03/23,Media,CA002
PE00323,CL00326,PRO0012,454,2023/11/23,2023/12/21,Baja,CA001
PE00324,CL00217,PRO006,615,2021/06/07,2021/06/18,Alta,CA001
PE00325,CL0098,PRO006,1011,2020/02/05,2020/02/17,Alta,CA001
PE00326,CL00309,PRO003,1423,2022/04/05,2022/04/11,Crítica,CA001
PE00327,CL00483,PRO0010,907,2022/05/16,2022/07/01,Media,CA001
PE00328,CL00382,PRO008,1116,2020/12/18,2021/02/02,Crítica,CA002
PE00329,CL00109,PRO0010,720,2021/09/10,2021/09/21,Media,CA001
PE00330,CL00473,PRO005,268,2021/11/21,2021/12/13,Alta,CA001
PE00331,CL00155,PRO006,1004,2023/06/10,2023/06/18,Baja,CA001
PE00332,CL00245,PRO0010,819,2023/08/27,2023/09/14,Media,CA001
PE00333,CL00367,PRO001,620,2022/09/20,2022/11/24,Baja,CA001
PE00334,CL00457,PRO001,1083,2021/02/10,2021/02/19,Baja,CA002
PE00335,CL0064,PRO0012,593,2021/03/15,2021/05/11,Baja,CA001
PE00336,CL00329,PRO0012,1052,2022/02/03,2022/03/08,Alta,CA001
PE00337,CL00286,PRO006,1186,2022/09/12,2022/10/11,Crítica,CA001
PE00338,CL0077,PRO0012,218,2022/07/20,2022/09/16,Baja,CA002
PE00339,CL00289,PRO002,337,2020/02/06,2020/03/08,Baja,CA002
PE00340,CL00442,PRO009,863,2022/09/10,2022/10/18,Baja,CA001
PE00341,CL00366,PRO0011,183,2022/09/05,2022/09/15,Crítica,CA001
PE00342,CL00475,PRO002,851,2023/05/08,2023/05/30,Alta,CA001
PE00343,CL0044,PRO003,344,2020/06/08,2020/07/31,Crítica,CA001
PE00344,CL00453,PRO004,1392,2020/05/06,2020/06/22,Media,CA002
PE00345,CL00193,PRO0011,870,2020/07/07,2020/07/29,Crítica,CA001
PE00346,CL00460,PRO009,852,2021/12/26,2022/02/28,Alta,CA002
PE00347,CL00424,PRO0011,1442,2020/12/09,2021/02/06,Alta,CA002
PE00348,CL00462,PRO001,539,2023/04/06,2023/04/19,Baja,CA001
PE00349,CL00440,PRO004,1400,2021/01/04,2021/02/09,Alta,CA001
PE00350,CL00255,PRO004,232,2021/09/20,2021/09/30,Media,CA002
