ID Venta,ID Pedido,Venta Bruta,Venta Neta
VE00143,PE00143,108406,72852
VE00144,PE00144,92898,38067
VE00145,PE00145,12726,3287
VE00146,PE00146,57865,17742
VE00147,PE00147,32266,10649
VE00148,PE00148,110417,33856
VE00149,PE00149,318845,119729
VE00150,PE00150,59826,18344
VE00151,PE00151,223987,80946
VE00152,PE00152,14899,4917
VE00153,PE00153,97982,40151
VE00154,PE00154,66610,20424
VE00155,PE00155,51362,34517
VE00156,PE00156,482220,65380
VE00157,PE00157,377573,93637
VE00158,PE00158,174858,71653
VE00159,PE00159,140811,57701
VE00160,PE00160,249308,107371
VE00161,PE00161,96125,34738
VE00162,PE00162,3853,995
VE00163,PE00163,122394,82253
VE00164,PE00164,264525,35864
VE00165,PE00165,64864,21407
VE00166,PE00166,4544,1174
VE00167,PE00167,132338,88936
VE00168,PE00168,49490,16333
VE00169,PE00169,31956,9798
VE00170,PE00170,579390,143688
VE00171,PE00171,574614,77906
VE00172,PE00172,942952,182810
VE00173,PE00173,68300,45900
VE00174,PE00174,123248,50504
VE00175,PE00175,24650,10101
VE00176,PE00176,3368,870
VE00177,PE00177,516333,205340
VE00178,PE00178,43653,16392
VE00179,PE00179,454545,88122
VE00180,PE00180,120633,36989
VE00181,PE00181,68865,28219
VE00182,PE00182,54995,18150
VE00183,PE00183,458623,182390
VE00184,PE00184,237666,89246
VE00185,PE00185,425396,169176
VE00186,PE00186,765823,148470
VE00187,PE00187,180228,67677
VE00188,PE00188,9205,3038
VE00189,PE00189,13846,3576
VE00190,PE00190,108129,33154
VE00191,PE00191,141936,53298
VE00192,PE00192,111489,48016
VE00193,PE00193,99220,30423
VE00194,PE00194,102305,40686
VE00195,PE00195,138057,26765
VE00196,PE00196,9591,2477
VE00197,PE00197,122105,37440
VE00198,PE00198,785359,152258
VE00199,PE00199,233071,87520
VE00200,PE00200,187996,74764
VE00201,PE00201,455847,88375
VE00202,PE00202,679631,168547
VE00203,PE00203,12260,3167
VE00204,PE00204,31473,21151
VE00205,PE00205,456907,61948
VE00206,PE00206,202409,87173
VE00207,PE00207,137322,49626
VE00208,PE00208,79495,32575
VE00209,PE00209,397238,77012
VE00210,PE00210,8938,2309
VE00211,PE00211,135289,90919
VE00212,PE00212,10198,2634
VE00213,PE00213,543440,216120
VE00214,PE00214,183036,68732
VE00215,PE00215,81086,54492
VE00216,PE00216,193499,79291
VE00217,PE00217,617998,119811
VE00218,PE00218,215574,92842
VE00219,PE00219,64389,23269
VE00220,PE00220,57700,38776
VE00221,PE00221,33182,10174
VE00222,PE00222,49016,16177
VE00223,PE00223,21780,7188
VE00224,PE00224,69424,25089
VE00225,PE00225,271697,36837
VE00226,PE00226,30974,11193
VE00227,PE00227,321398,120688
VE00228,PE00228,189120,46902
VE00229,PE00229,10636,2747
VE00230,PE00230,70492,25475
VE00231,PE00231,25009,7668
VE00232,PE00232,809275,200699
VE00233,PE00233,206594,84657
VE00234,PE00234,818571,158696
VE00235,PE00235,599928,81338
VE00236,PE00236,665597,165067
VE00237,PE00237,129497,87026
VE00238,PE00238,42991,18515
VE00239,PE00239,321908,120879
VE00240,PE00240,125853,47259
VE00241,PE00241,7972,2631
VE00242,PE00242,95033,40929
VE00243,PE00243,407968,55312
VE00244,PE00244,44052,13507
VE00245,PE00245,79228,53244
VE00246,PE00246,11718,3027
VE00247,PE00247,175012,71716
VE00248,PE00248,64817,21392
VE00249,PE00249,189956,77839
VE00250,PE00250,172314,64706
VE00251,PE00251,75286,32424
VE00252,PE00252,98076,30072
VE00253,PE00253,21068,6953
VE00254,PE00254,496222,96202
VE00255,PE00255,114416,76892
VE00256,PE00256,129060,86733
VE00257,PE00257,225544,92422
VE00258,PE00258,276338,37466
VE00259,PE00259,53547,35986
VE00260,PE00260,339280,65776
VE00261,PE00261,344262,46675
VE00262,PE00262,72004,22078
VE00263,PE00263,51673,17054
VE00264,PE00264,570817,77392
VE00265,PE00265,125723,17046
VE00266,PE00266,120230,47814
VE00267,PE00267,86307,26463
VE00268,PE00268,376399,72972
VE00269,PE00269,421898,167785
VE00270,PE00270,37011,12215
VE00271,PE00271,300808,40784
VE00272,PE00272,71792,29419
VE00273,PE00273,819299,203185
VE00274,PE00274,211524,86677
VE00275,PE00275,290037,124912
VE00276,PE00276,9199,2376
VE00277,PE00277,227344,82159
VE00278,PE00278,15279,5043
VE00279,PE00279,626169,155289
VE00280,PE00280,10981,2837
VE00281,PE00281,67426,45312
VE00282,PE00282,141333,19162
VE00283,PE00283,37105,11377
VE00284,PE00284,26072,7994
VE00285,PE00285,90114,33839
VE00286,PE00286,48874,16130
VE00287,PE00287,65221,19998
VE00288,PE00288,249153,93559
VE00289,PE00289,479267,64979
VE00290,PE00290,45505,15018
VE00291,PE00291,153190,55361
VE00292,PE00292,8266,2135
VE00293,PE00293,662281,128396
VE00294,PE00294,21005,6440
VE00295,PE00295,718285,139254
VE00296,PE00296,100176,43143
VE00297,PE00297,812616,201528
VE00298,PE00298,106653,38543
VE00299,PE00299,70714,28977
VE00300,PE00300,167380,60489
VE00301,PE00301,59826,18344
VE00302,PE00302,756055,146576
VE00303,PE00303,37437,15341
VE00304,PE00304,392168,155961
VE00305,PE00305,100587,43321
VE00306,PE00306,33879,11181
VE00307,PE00307,447741,111039
VE00308,PE00308,209187,75597
VE00309,PE00309,335824,45531
VE00310,PE00310,133103,89450
VE00311,PE00311,107641,72338
VE00312,PE00312,41044,13546
VE00313,PE00313,822478,159454
VE00314,PE00314,56386,23106
VE00315,PE00315,366212,90820
VE00316,PE00316,59339,39878
VE00317,PE00317,456063,61833
VE00318,PE00318,464448,115182
VE00319,PE00319,359028,48677
VE00320,PE00320,338757,127206
VE00321,PE00321,298676,128633
VE00322,PE00322,46384,16763
VE00323,PE00323,303395,75241
VE00324,PE00324,29182,9631
VE00325,PE00325,47972,15832
VE00326,PE00326,292711,126064
VE00327,PE00327,139732,57259
VE00328,PE00328,91211,27967
VE00329,PE00329,110923,45454
VE00330,PE00330,68415,25690
VE00331,PE00331,47640,15723
VE00332,PE00332,126175,51703
VE00333,PE00333,94600,34187
VE00334,PE00334,165244,59717
VE00335,PE00335,396284,98278
VE00336,PE00336,703020,174348
VE00337,PE00337,56276,18573
VE00338,PE00338,145683,36129
VE00339,PE00339,142177,19276
VE00340,PE00340,561994,108954
VE00341,PE00341,19998,13440
VE00342,PE00342,359028,48677
VE00343,PE00343,70761,30475
VE00344,PE00344,12987,3355
VE00345,PE00345,95074,63893
VE00346,PE00346,554831,107565
VE00347,PE00347,157582,105900
VE00348,PE00348,82241,29720
VE00349,PE00349,13062,3374
VE00350,PE00350,2165,559
VE00351,PE00351,181723,65672
VE00352,PE00352,11467,2962
VE00353,PE00353,848035,210311
VE00354,PE00354,138654,56817
VE00355,PE00355,48751,20996
VE00356,PE00356,33918,10400
VE00357,PE00357,332375,124810
VE00358,PE00358,516410,100116
VE00359,PE00359,496143,67267
VE00360,PE00360,447625,60689
VE00361,PE00361,40293,12355
VE00362,PE00362,89441,12126
VE00363,PE00363,130303,47090
VE00364,PE00364,9498,2453
VE00365,PE00365,113672,45206
VE00366,PE00366,517712,100369
VE00367,PE00367,451940,87618
VE00368,PE00368,5803,1499
VE00369,PE00369,652302,259414
VE00370,PE00370,93872,63085
VE00371,PE00371,6671,1723
VE00372,PE00372,66892,26602
VE00373,PE00373,151749,62183
VE00374,PE00374,34354,11338
VE00375,PE00375,5682,1468
VE00376,PE00376,75075,50453
VE00377,PE00377,13361,3451
VE00378,PE00378,269315,107104
VE00379,PE00379,694333,172193
VE00380,PE00380,265147,114193
VE00381,PE00381,892140,221250
VE00382,PE00382,340818,84522
VE00383,PE00383,18031,12118
VE00384,PE00384,192861,69697
VE00385,PE00385,14793,4536
VE00386,PE00386,237789,102410
VE00387,PE00387,913648,177129
VE00388,PE00388,97520,39961
VE00389,PE00389,362825,49192
VE00390,PE00390,2976,769
VE00391,PE00391,115961,41906
VE00392,PE00392,365561,137272
VE00393,PE00393,274124,109016
VE00394,PE00394,78624,24108
VE00395,PE00395,53438,35912
VE00396,PE00396,265369,35979
VE00397,PE00397,222925,91349
VE00398,PE00398,429799,83325
VE00399,PE00399,298422,112060
VE00400,PE00400,61951,18995
VE00401,PE00401,505840,201168
VE00402,PE00402,861400,213626
VE00403,PE00403,88496,31981
VE00404,PE00404,106301,43560
VE00405,PE00405,258154,111180
VE00406,PE00406,32076,10586
VE00407,PE00407,117607,46771
VE00408,PE00408,46216,15253
VE00409,PE00409,284894,122697
VE00410,PE00410,857390,212632
VE00411,PE00411,701684,174016
VE00412,PE00412,34483,12462
VE00413,PE00413,44401,16046
VE00414,PE00414,20982,14100
VE00415,PE00415,28090,9271
VE00416,PE00416,159896,21679
VE00417,PE00417,98719,35676
VE00418,PE00418,828339,160590
VE00419,PE00419,57675,20843
VE00420,PE00420,13379,3456
VE00421,PE00421,152227,102302
VE00422,PE00422,7455,1926
VE00423,PE00423,86307,26463
VE00424,PE00424,19407,6405
VE00425,PE00425,58028,17793
VE00426,PE00426,84072,30382
VE00427,PE00427,135452,26260
VE00428,PE00428,16591,5087
VE00429,PE00429,292300,125886
VE00430,PE00430,477145,118331
VE00431,PE00431,90965,27892
VE00432,PE00432,114929,47095
VE00433,PE00433,621022,84198
VE00434,PE00434,58081,23800
VE00435,PE00435,218524,54194
VE00436,PE00436,5738,1482
VE00437,PE00437,351521,131999
VE00438,PE00438,146782,53045
VE00439,PE00439,69752,23020
VE00440,PE00440,259109,97298
VE00441,PE00441,8052,2080
VE00442,PE00442,2594,670
VE00443,PE00443,235938,101613
VE00444,PE00444,499866,123966
VE00445,PE00445,215851,53531
VE00446,PE00446,44366,14642
VE00447,PE00447,29601,10697
VE00448,PE00448,644212,159764
VE00449,PE00449,16501,11089
VE00450,PE00450,483064,65494
VE00451,PE00451,34352,14795
VE00452,PE00452,144233,54161
VE00453,PE00453,100528,30824
VE00454,PE00454,392274,97284
VE00455,PE00455,742379,143925
VE00456,PE00456,784549,194567
VE00457,PE00457,87123,31485
VE00458,PE00458,424351,105239
VE00459,PE00459,623208,120821
VE00460,PE00460,138346,56691
VE00461,PE00461,158784,106708
VE00462,PE00462,346160,129986
VE00463,PE00463,30730,9423
VE00464,PE00464,228260,82489
VE00465,PE00465,199554,27056
VE00466,PE00466,241743,32776
VE00467,PE00467,86987,58458
VE00468,PE00468,38387,12669
VE00469,PE00469,23962,7908
VE00470,PE00470,121861,49936
VE00471,PE00471,4049,1046
VE00472,PE00472,427194,82820
VE00473,PE00473,533279,132253
VE00474,PE00474,19697,6039
VE00475,PE00475,245540,33290
VE00476,PE00476,119396,48926
VE00477,PE00477,836154,162105
VE00478,PE00478,707698,175508
VE00479,PE00479,746458,185120
VE00480,PE00480,286020,70932
VE00481,PE00481,99940,36117
VE00482,PE00482,598102,148328
VE00483,PE00483,190115,68704
VE00484,PE00484,539962,133910
VE00485,PE00485,107569,38874
VE00486,PE00486,174006,69200
VE00487,PE00487,1400,362
VE00488,PE00488,789227,195727
VE00489,PE00489,526829,102136
VE00490,PE00490,264215,99215
VE00491,PE00491,757150,187772
VE00492,PE00492,465345,63092
VE00493,PE00493,72500,27224
VE00494,PE00494,199117,71958
VE00495,PE00495,137596,51669
VE00496,PE00496,927974,179906
VE00497,PE00497,515128,69841
VE00498,PE00498,252727,94901
VE00499,PE00499,94527,63526
VE00500,PE00500,842688,208986
VE00501,PE00501,625162,121200
VE00502,PE00502,355006,141182
VE00503,PE00503,85292,30823
VE00504,PE00504,2967,766
VE00505,PE00505,116302,35660
VE00506,PE00506,70321,23208
VE00507,PE00507,797081,154530
VE00508,PE00508,231831,44945
VE00509,PE00509,472176,187780
VE00510,PE00510,531198,211252
VE00511,PE00511,1913,494
VE00512,PE00512,442984,60060
VE00513,PE00513,480533,65151
VE00514,PE00514,582063,144351
VE00515,PE00515,14711,4511
VE00516,PE00516,198926,79111
VE00517,PE00517,783212,194236
VE00518,PE00518,186259,76324
VE00519,PE00519,83655,34280
VE00520,PE00520,96133,39393
VE00521,PE00521,160819,58118
VE00522,PE00522,70985,23427
VE00523,PE00523,953371,184830
VE00524,PE00524,539962,133910
VE00525,PE00525,870668,168796
VE00526,PE00526,788559,195561
VE00527,PE00527,182561,74809
VE00528,PE00528,132666,89156
VE00529,PE00529,218009,81864
VE00530,PE00530,41757,17984
VE00531,PE00531,117476,78948
VE00532,PE00532,197744,71461
VE00533,PE00533,30196,12373
VE00534,PE00534,296422,117884
VE00535,PE00535,164536,67423
VE00536,PE00536,306591,115128
VE00537,PE00537,595206,115392
VE00538,PE00538,204610,73943
VE00539,PE00539,39336,12982
VE00540,PE00540,77350,29046
VE00541,PE00541,208308,78222
VE00542,PE00542,61379,18820
VE00543,PE00543,189038,81414
VE00544,PE00544,65149,21501
VE00545,PE00545,401145,77770
VE00546,PE00546,152365,62436
VE00547,PE00547,356856,88500
VE00548,PE00548,343188,66534
VE00549,PE00549,10095,2608
VE00550,PE00550,7091,1832
VE00551,PE00551,138390,50012
VE00552,PE00552,183624,73025
VE00553,PE00553,221692,90844
VE00554,PE00554,5906,1526
VE00555,PE00555,97828,40088
VE00556,PE00556,116138,35610
VE00557,PE00557,39494,17009
VE00558,PE00558,190272,81946
VE00559,PE00559,170945,67983
VE00560,PE00560,279532,104967
VE00561,PE00561,890804,220918
VE00562,PE00562,77053,27846
VE00563,PE00563,33112,22252
VE00564,PE00564,32447,9949
VE00565,PE00565,42265,15274
VE00566,PE00566,184498,73373
VE00567,PE00567,325714,129533
VE00568,PE00568,42829,17550
VE00569,PE00569,626070,248982
VE00570,PE00570,12054,3114
VE00571,PE00571,61299,26400
VE00572,PE00572,124480,51009
VE00573,PE00573,147041,55215
VE00574,PE00574,32171,10617
VE00575,PE00575,302542,120318
VE00576,PE00576,79119,53171
VE00577,PE00577,136844,54421
VE00578,PE00578,477860,190040
VE00579,PE00579,165383,71226
VE00580,PE00580,620155,153797
VE00581,PE00581,121363,52268
VE00582,PE00582,112772,46211
VE00583,PE00583,114984,45728
VE00584,PE00584,516393,70013
VE00585,PE00585,45448,18623
VE00586,PE00586,41376,13656
VE00587,PE00587,91374,28017
VE00588,PE00588,388139,52624
VE00589,PE00589,38053,15593
VE00590,PE00590,55495,17016
VE00591,PE00591,13333,3444
VE00592,PE00592,358504,142573
VE00593,PE00593,39232,26365
VE00594,PE00594,61788,18945
VE00595,PE00595,647056,257328
VE00596,PE00596,167068,22651
VE00597,PE00597,141080,94811
VE00598,PE00598,14093,4651
VE00599,PE00599,10629,3508
VE00600,PE00600,419359,56857
VE00601,PE00601,81756,32514
VE00602,PE00602,24565,8878
VE00603,PE00603,453532,61490
VE00604,PE00604,100755,41287
VE00605,PE00605,36821,12152
VE00606,PE00606,11495,2969
VE00607,PE00607,222567,95854
VE00608,PE00608,4394,1135
VE00609,PE00609,2025,523
VE00610,PE00610,506715,201515
VE00611,PE00611,118918,47293
VE00612,PE00612,94964,35660
VE00613,PE00613,19942,6115
VE00614,PE00614,241599,46839
VE00615,PE00615,219105,79181
VE00616,PE00616,34971,11541
VE00617,PE00617,77384,30775
VE00618,PE00618,385607,52281
VE00619,PE00619,192462,47730
VE00620,PE00620,304728,121187
VE00621,PE00621,307727,132531
VE00622,PE00622,47687,15738
VE00623,PE00623,8500,2196
VE00624,PE00624,829991,205837
VE00625,PE00625,116724,42182
VE00626,PE00626,59885,40245
VE00627,PE00627,34735,10650
VE00628,PE00628,161124,58228
VE00629,PE00629,31254,21004
VE00630,PE00630,720395,178657
VE00631,PE00631,120239,16302
VE00632,PE00632,226433,85028
VE00633,PE00633,12512,3232
VE00634,PE00634,11868,3066
VE00635,PE00635,259697,103279
VE00636,PE00636,256812,96435
VE00637,PE00637,161500,31310
VE00638,PE00638,31254,21004
VE00639,PE00639,306068,75904
VE00640,PE00640,61642,22277
VE00641,PE00641,102367,38440
VE00642,PE00642,66855,20499
VE00643,PE00643,475470,64464
VE00644,PE00644,63473,22938
VE00645,PE00645,338778,45932
VE00646,PE00646,59075,19497
VE00647,PE00647,189850,25740
VE00648,PE00648,57367,18933
VE00649,PE00649,367548,91152
VE00650,PE00650,237837,94585
VE00651,PE00651,247877,93080
VE00652,PE00652,210020,90450
VE00653,PE00653,718936,139380
VE00654,PE00654,81076,24860
VE00655,PE00655,294347,57065
VE00656,PE00656,40434,14612
VE00657,PE00657,640871,158935
VE00658,PE00658,4618,1193
VE00659,PE00659,220648,29916
VE00660,PE00660,141594,51170
VE00661,PE00661,22730,15276
VE00662,PE00662,69078,27471
VE00663,PE00663,87124,26714
VE00664,PE00664,38515,15782
VE00665,PE00665,831328,206168
VE00666,PE00666,33585,13762
VE00667,PE00667,202861,80676
VE00668,PE00668,399952,54226
VE00669,PE00669,233465,92847
VE00670,PE00670,464448,115182
VE00671,PE00671,134734,58026
VE00672,PE00672,38904,26145
VE00673,PE00673,11635,3005
VE00674,PE00674,297432,40326
VE00675,PE00675,644870,256458
VE00676,PE00676,703958,136476
VE00677,PE00677,539175,73102
VE00678,PE00678,11523,2976
VE00679,PE00679,311930,60474
VE00680,PE00680,102177,68666
VE00681,PE00681,10142,2620
VE00682,PE00682,173846,65281
VE00683,PE00683,50346,15437
VE00684,PE00684,99049,37194
VE00685,PE00685,579255,78536
VE00686,PE00686,213898,29000
VE00687,PE00687,62710,22663
VE00688,PE00688,182525,68540
VE00689,PE00689,200432,82132
VE00690,PE00690,992381,246109
VE00691,PE00691,9936,2567
VE00692,PE00692,114994,35259
VE00693,PE00693,13165,3401
VE00694,PE00694,234092,87904
VE00695,PE00695,22394,6866
VE00696,PE00696,224902,84453
VE00697,PE00697,13510,3490
VE00698,PE00698,179988,77516
VE00699,PE00699,7156,1848
VE00700,PE00700,101509,31125
VE00701,PE00701,328545,123372
VE00702,PE00702,566598,76820
VE00703,PE00703,2239,578
VE00704,PE00704,187631,70457
VE00705,PE00705,32675,21959
VE00706,PE00706,254611,63143
VE00707,PE00707,195964,80301
VE00708,PE00708,496143,67267
VE00709,PE00709,127534,54926
VE00710,PE00710,109436,33555
VE00711,PE00711,78696,31297
VE00712,PE00712,298882,128721
VE00713,PE00713,762496,189098
VE00714,PE00714,222771,91286
VE00715,PE00715,17462,5763
VE00716,PE00716,64247,21204
VE00717,PE00717,58286,21063
VE00718,PE00718,120843,43671
VE00719,PE00719,535133,212817
VE00720,PE00720,320632,120400
VE00721,PE00721,869419,215615
VE00722,PE00722,4740,1224
VE00723,PE00723,586740,113751
VE00724,PE00724,253011,108966
VE00725,PE00725,108426,14700
VE00726,PE00726,94901,38888
VE00727,PE00727,650554,258719
VE00728,PE00728,78135,52510
VE00729,PE00729,261008,103800
VE00730,PE00730,225698,92485
VE00731,PE00731,108928,27014
VE00732,PE00732,134414,90331
VE00733,PE00733,4852,1253
VE00734,PE00734,7016,1812
VE00735,PE00735,601150,239071
VE00736,PE00736,122612,82400
VE00737,PE00737,476736,64636
VE00738,PE00738,204762,73998
VE00739,PE00739,143402,57029
VE00740,PE00740,913525,226553
VE00741,PE00741,100139,41034
VE00742,PE00742,57462,18964
VE00743,PE00743,302252,113498
VE00744,PE00744,3657,945
VE00745,PE00745,34490,10575
VE00746,PE00746,305417,59211
VE00747,PE00747,25025,16818
VE00748,PE00748,227344,82159
VE00749,PE00749,23108,7626
VE00750,PE00750,316970,126056
VE00751,PE00751,7940,2051
VE00752,PE00752,91358,61396
VE00753,PE00753,254769,95668
VE00754,PE00754,328121,81373
VE00755,PE00755,850039,210809
VE00756,PE00756,215586,29229
VE00757,PE00757,72612,31272
VE00758,PE00758,74761,29732
VE00759,PE00759,536444,213338
VE00760,PE00760,52945,19134
VE00761,PE00761,553520,75046
VE00762,PE00762,46335,31139
VE00763,PE00763,170945,67983
VE00764,PE00764,140374,50729
VE00765,PE00765,206593,74660
VE00766,PE00766,323184,121359
VE00767,PE00767,556473,75447
VE00768,PE00768,201161,75538
VE00769,PE00769,178696,67102
VE00770,PE00770,77807,23857
VE00771,PE00771,688980,133572
VE00772,PE00772,8864,2290
VE00773,PE00773,182015,68348
VE00774,PE00774,121696,37314
VE00775,PE00775,352700,47819
VE00776,PE00776,168850,69190
VE00777,PE00777,160204,107663
VE00778,PE00778,8565,2212
VE00779,PE00779,58506,19309
VE00780,PE00780,358193,88831
VE00781,PE00781,480533,65151
VE00782,PE00782,99144,13442
VE00783,PE00783,581476,231247
VE00784,PE00784,24042,16157
VE00785,PE00785,187122,74416
VE00786,PE00786,302073,40955
VE00787,PE00787,45351,30478
VE00788,PE00788,55611,18354
VE00789,PE00789,41946,13843
VE00790,PE00790,6148,1588
VE00791,PE00791,53778,16489
VE00792,PE00792,268299,52015
VE00793,PE00793,127100,52082
VE00794,PE00794,864807,167660
VE00795,PE00795,13731,4210
VE00796,PE00796,8836,2282
VE00797,PE00797,92463,33415
VE00798,PE00798,41197,14888
VE00799,PE00799,70653,23318
VE00800,PE00800,53482,23033
VE00801,PE00801,75198,29906
VE00802,PE00802,102142,41855
VE00803,PE00803,135969,54074
VE00804,PE00804,12005,3962
VE00805,PE00805,12437,3213
VE00806,PE00806,101521,68226
VE00807,PE00807,54140,17868
VE00808,PE00808,257879,49995
VE00809,PE00809,15611,5152
VE00810,PE00810,55077,37014
VE00811,PE00811,4562,1178
VE00812,PE00812,49111,16208
VE00813,PE00813,349478,131232
VE00814,PE00814,1502,388
VE00815,PE00815,138500,56754
VE00816,PE00816,101063,41413
VE00817,PE00817,9348,3085
VE00818,PE00818,152427,55085
VE00819,PE00819,113196,34708
VE00820,PE00820,15564,5136
VE00821,PE00821,187187,80617
VE00822,PE00822,274404,118179
VE00823,PE00823,14899,4917
VE00824,PE00824,116220,35635
VE00825,PE00825,16938,11383
VE00826,PE00826,532003,72129
VE00827,PE00827,243520,96846
VE00828,PE00828,179172,73420
VE00829,PE00829,121569,52357
VE00830,PE00830,122432,37540
VE00831,PE00831,179765,44581
VE00832,PE00832,209035,75542
VE00833,PE00833,105894,14357
VE00834,PE00834,5570,1439
VE00835,PE00835,30322,9297
VE00836,PE00836,234563,58171
VE00837,PE00837,8919,2304
VE00838,PE00838,16509,5062
VE00839,PE00839,228412,82545
VE00840,PE00840,94447,34132
VE00841,PE00841,43166,29009
VE00842,PE00842,369871,147094
VE00843,PE00843,284354,38553
VE00844,PE00844,128562,55369
VE00845,PE00845,112008,21715
VE00846,PE00846,234776,93368
VE00847,PE00847,131136,88128
VE00848,PE00848,788559,195561
VE00849,PE00849,330960,131620
VE00850,PE00850,326588,129881
VE00851,PE00851,91646,34414
VE00852,PE00852,218961,29687
VE00853,PE00853,43493,29229
VE00854,PE00854,250716,48606
VE00855,PE00855,55081,19906
VE00856,PE00856,156371,64077
VE00857,PE00857,555332,137722
VE00858,PE00858,101427,31099
VE00859,PE00859,292040,109664
VE00860,PE00860,229093,91108
VE00861,PE00861,596778,237333
VE00862,PE00862,77960,33576
VE00863,PE00863,466930,185693
VE00864,PE00864,814012,157812
VE00865,PE00865,143048,96133
VE00866,PE00866,102912,42171
VE00867,PE00867,159877,107443
VE00868,PE00868,829323,205671
VE00869,PE00869,32313,10664
VE00870,PE00870,570395,77334
VE00871,PE00871,610835,118422
VE00872,PE00872,27648,18580
VE00873,PE00873,779203,193241
